Mã s? ID,Tình tr?ng,?ã b?t ??u vào lúc,?ã hoàn thành,Th?i gian th?c hi?n,"?i?m/10,00","Q. 1 /1,00","Q. 2 /1,00","Q. 3 /1,00","Q. 4 /1,00","Q. 5 /1,00","Q. 6 /1,00","Q. 7 /1,00","Q. 8 /1,00","Q. 9 /1,00","Q. 10 /1,00"
1913014,?ã hoàn thành,20 March 2020  9:58 AM,20 March 2020  9:59 AM,42 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1913014,?ã hoàn thành,20 March 2020  10:00 AM,20 March 2020  10:00 AM,48 giây,"9,75","1,00","1,00","1,00","1,00","1,00","1,00","0,75","1,00","1,00","1,00"
1913186,?ã hoàn thành,20 March 2020  10:00 AM,20 March 2020  10:02 AM,1 phút 23 giây,"9,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","0,00","1,00"
1913014,?ã hoàn thành,20 March 2020  10:01 AM,20 March 2020  10:03 AM,1 phút 37 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1913186,?ã hoàn thành,20 March 2020  10:02 AM,20 March 2020  10:03 AM,44 giây,"9,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","0,00","1,00"
1913186,?ã hoàn thành,20 March 2020  10:03 AM,20 March 2020  10:04 AM,44 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1911837,?ã hoàn thành,20 March 2020  10:16 AM,20 March 2020  10:19 AM,2 phút 32 giây,"8,50","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00","0,00","1,00"
1911837,?ã hoàn thành,20 March 2020  10:20 AM,20 March 2020  10:21 AM,1 phút 5 giây,"9,50","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00","1,00","1,00"
1911837,?ã hoàn thành,20 March 2020  10:21 AM,20 March 2020  10:22 AM,37 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1912041,?ã hoàn thành,20 March 2020  10:25 AM,20 March 2020  10:28 AM,3 phút,"8,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","0,00","0,00"
1914472,?ã hoàn thành,20 March 2020  10:42 AM,20 March 2020  10:45 AM,3 phút 13 giây,"8,50","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00","0,00","1,00"
1913102,?ã hoàn thành,20 March 2020  10:45 AM,20 March 2020  10:47 AM,2 phút 24 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1916022,?ã hoàn thành,20 March 2020  11:55 AM,20 March 2020  12:04 PM,9 phút 23 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1916022,?ã hoàn thành,20 March 2020  12:05 PM,20 March 2020  12:05 PM,57 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1916022,?ã hoàn thành,20 March 2020  12:07 PM,20 March 2020  12:08 PM,36 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1910351,?ã hoàn thành,20 March 2020  12:29 PM,20 March 2020  12:31 PM,2 phút 16 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1912123,?ã hoàn thành,20 March 2020  12:45 PM,20 March 2020  12:48 PM,2 phút 40 giây,"8,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","0,00","1,00"
1914641,?ã hoàn thành,20 March 2020  1:53 PM,20 March 2020  1:59 PM,6 phút 14 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1911704,?ã hoàn thành,20 March 2020  2:19 PM,20 March 2020  2:23 PM,3 phút 38 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1912916,Ch?a bao gi? g?i,20 March 2020  2:20 PM,-,-,-,-,-,-,-,-,-,-,-,-,-
1914052,?ã hoàn thành,20 March 2020  2:27 PM,20 March 2020  2:32 PM,5 phút 5 giây,"7,50","1,00","1,00","1,00","0,00","1,00","0,50","1,00","1,00","0,00","1,00"
1914052,?ã hoàn thành,20 March 2020  2:34 PM,20 March 2020  2:35 PM,1 phút 24 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1914384,?ã hoàn thành,20 March 2020  2:35 PM,20 March 2020  2:36 PM,1 phút 24 giây,"9,00","1,00","1,00","1,00","1,00","0,50","1,00","0,50","1,00","1,00","1,00"
1911900,?ã hoàn thành,20 March 2020  2:36 PM,20 March 2020  2:44 PM,7 phút 50 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1914384,?ã hoàn thành,20 March 2020  2:38 PM,20 March 2020  2:39 PM,1 phút 12 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1914384,?ã hoàn thành,20 March 2020  2:40 PM,20 March 2020  2:41 PM,1 phút 13 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1914384,?ã hoàn thành,20 March 2020  2:42 PM,20 March 2020  2:43 PM,57 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1914807,?ã hoàn thành,20 March 2020  2:51 PM,20 March 2020  2:54 PM,2 phút 53 giây,"9,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","0,00","1,00"
1914807,?ã hoàn thành,20 March 2020  2:55 PM,20 March 2020  2:56 PM,1 phút 11 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1912190,?ã hoàn thành,20 March 2020  3:09 PM,20 March 2020  3:14 PM,5 phút 18 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1912924,?ã hoàn thành,20 March 2020  3:39 PM,20 March 2020  3:42 PM,2 phút 16 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1912924,?ã hoàn thành,20 March 2020  3:42 PM,20 March 2020  3:43 PM,1 phút 1 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1912924,?ã hoàn thành,20 March 2020  3:44 PM,20 March 2020  3:46 PM,2 phút 44 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1916061,?ã hoàn thành,20 March 2020  3:53 PM,20 March 2020  3:57 PM,3 phút 23 giây,"9,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","0,00","1,00"
1916061,?ã hoàn thành,20 March 2020  3:57 PM,20 March 2020  3:58 PM,1 phút 5 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1910663,?ã hoàn thành,20 March 2020  4:11 PM,20 March 2020  4:17 PM,5 phút 24 giây,"8,50","1,00","1,00","1,00","0,00","1,00","1,00","0,50","1,00","1,00","1,00"
1911217,?ã hoàn thành,20 March 2020  4:16 PM,20 March 2020  4:24 PM,8 phút 31 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1910663,?ã hoàn thành,20 March 2020  4:24 PM,20 March 2020  4:26 PM,1 phút 52 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1910663,?ã hoàn thành,20 March 2020  4:27 PM,20 March 2020  4:28 PM,1 phút 8 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1911591,?ã hoàn thành,20 March 2020  4:37 PM,20 March 2020  4:40 PM,2 phút 56 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1913944,?ã hoàn thành,20 March 2020  4:38 PM,20 March 2020  4:41 PM,2 phút 14 giây,"8,50","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00","0,00","1,00"
1911217,?ã hoàn thành,20 March 2020  4:41 PM,20 March 2020  4:41 PM,46 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1913944,?ã hoàn thành,20 March 2020  4:42 PM,20 March 2020  4:44 PM,1 phút 44 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1911217,?ã hoàn thành,20 March 2020  4:47 PM,20 March 2020  4:48 PM,39 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1913678,?ã hoàn thành,20 March 2020  4:51 PM,20 March 2020  4:53 PM,1 phút 57 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1914837,?ã hoàn thành,20 March 2020  5:09 PM,20 March 2020  5:24 PM,15 phút 16 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1911594,?ã hoàn thành,20 March 2020  5:46 PM,20 March 2020  5:55 PM,8 phút 46 giây,"9,00","1,00","1,00","1,00","1,00","0,50","1,00","0,50","1,00","1,00","1,00"
1914474,?ã hoàn thành,20 March 2020  5:47 PM,20 March 2020  5:52 PM,4 phút 48 giây,"7,50","1,00","1,00","1,00","0,00","1,00","1,00","0,50","1,00","0,00","1,00"
1914474,?ã hoàn thành,20 March 2020  5:54 PM,20 March 2020  5:56 PM,1 phút 41 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1911594,?ã hoàn thành,20 March 2020  5:55 PM,20 March 2020  5:56 PM,1 phút 17 giây,"9,00","1,00","1,00","1,00","1,00","0,50","1,00","0,50","1,00","1,00","1,00"
1911594,?ã hoàn thành,20 March 2020  6:01 PM,20 March 2020  6:02 PM,51 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1911594,?ã hoàn thành,20 March 2020  6:03 PM,20 March 2020  6:04 PM,45 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1911881,?ã hoàn thành,20 March 2020  6:18 PM,20 March 2020  6:19 PM,1 phút 27 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1911881,?ã hoàn thành,20 March 2020  6:20 PM,20 March 2020  6:20 PM,56 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1911881,?ã hoàn thành,20 March 2020  6:21 PM,20 March 2020  6:22 PM,1 phút 12 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1911881,?ã hoàn thành,20 March 2020  6:23 PM,20 March 2020  6:24 PM,48 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1915882,?ã hoàn thành,20 March 2020  6:41 PM,20 March 2020  6:46 PM,4 phút 50 giây,"8,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","0,00","1,00"
1915882,?ã hoàn thành,20 March 2020  6:47 PM,20 March 2020  6:48 PM,1 phút 6 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1915882,?ã hoàn thành,20 March 2020  6:50 PM,20 March 2020  6:51 PM,57 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1914003,?ã hoàn thành,20 March 2020  7:26 PM,20 March 2020  7:31 PM,5 phút 8 giây,"9,00","1,00","1,00","1,00","1,00","1,00","0,00","1,00","1,00","1,00","1,00"
1914003,?ã hoàn thành,20 March 2020  7:32 PM,20 March 2020  7:34 PM,1 phút 55 giây,"9,50","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00","1,00"
1913356,?ã hoàn thành,20 March 2020  7:48 PM,20 March 2020  7:51 PM,3 phút 17 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1913094,?ã hoàn thành,20 March 2020  7:49 PM,20 March 2020  7:58 PM,8 phút 33 giây,"8,75","1,00","1,00","1,00","1,00","1,00","1,00","0,75","1,00","0,00","1,00"
1913094,?ã hoàn thành,20 March 2020  8:00 PM,20 March 2020  8:01 PM,1 phút 19 giây,"9,75","1,00","1,00","1,00","1,00","1,00","1,00","0,75","1,00","1,00","1,00"
1913467,?ã hoàn thành,20 March 2020  8:03 PM,20 March 2020  8:08 PM,4 phút 25 giây,"8,50","1,00","1,00","1,00","0,00","1,00","0,50","1,00","1,00","1,00","1,00"
1913094,?ã hoàn thành,20 March 2020  8:04 PM,20 March 2020  8:06 PM,1 phút 44 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1914126,?ã hoàn thành,20 March 2020  8:07 PM,20 March 2020  8:10 PM,3 phút,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1913467,?ã hoàn thành,20 March 2020  8:08 PM,20 March 2020  8:09 PM,58 giây,"9,50","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00","1,00"
1913467,?ã hoàn thành,20 March 2020  8:16 PM,20 March 2020  8:17 PM,57 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1913123,?ã hoàn thành,20 March 2020  8:19 PM,20 March 2020  8:25 PM,5 phút 33 giây,"9,00","1,00","1,00","1,00","0,00","1,00","1,00","1,00","1,00","1,00","1,00"
1911561,?ã hoàn thành,20 March 2020  8:21 PM,20 March 2020  8:27 PM,6 phút 39 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1913123,?ã hoàn thành,20 March 2020  8:25 PM,20 March 2020  8:26 PM,1 phút 8 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1911186,?ã hoàn thành,20 March 2020  8:30 PM,20 March 2020  8:36 PM,5 phút 32 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1914064,?ã hoàn thành,20 March 2020  8:38 PM,20 March 2020  8:41 PM,3 phút 19 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1915221,?ã hoàn thành,20 March 2020  8:59 PM,20 March 2020  9:04 PM,4 phút 10 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1910238,?ã hoàn thành,20 March 2020  9:13 PM,20 March 2020  9:21 PM,8 phút 2 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1915988,?ã hoàn thành,20 March 2020  9:29 PM,20 March 2020  9:32 PM,2 phút 28 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1911185,?ã hoàn thành,20 March 2020  9:32 PM,20 March 2020  9:37 PM,4 phút 57 giây,"9,50","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00","1,00","1,00"
1911185,?ã hoàn thành,20 March 2020  9:38 PM,20 March 2020  9:40 PM,1 phút 36 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1915940,?ã hoàn thành,20 March 2020  9:48 PM,20 March 2020  9:55 PM,6 phút 33 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1912410,?ã hoàn thành,20 March 2020  10:18 PM,20 March 2020  10:23 PM,5 phút 4 giây,"8,50","1,00","1,00","1,00","0,00","1,00","1,00","0,50","1,00","1,00","1,00"
1912410,?ã hoàn thành,20 March 2020  10:24 PM,20 March 2020  10:25 PM,1 phút 23 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1914713,?ã hoàn thành,20 March 2020  10:28 PM,20 March 2020  10:30 PM,2 phút 16 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1914713,?ã hoàn thành,20 March 2020  10:32 PM,20 March 2020  10:33 PM,1 phút 2 giây,"9,00","1,00","1,00","1,00","1,00","0,50","1,00","0,50","1,00","1,00","1,00"
1914713,?ã hoàn thành,20 March 2020  10:34 PM,20 March 2020  10:35 PM,53 giây,"9,75","1,00","1,00","1,00","1,00","1,00","1,00","0,75","1,00","1,00","1,00"
1914713,?ã hoàn thành,20 March 2020  10:36 PM,20 March 2020  10:37 PM,1 phút,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1912084,?ã hoàn thành,20 March 2020  10:36 PM,20 March 2020  10:39 PM,3 phút 14 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1914704,?ã hoàn thành,20 March 2020  11:22 PM,20 March 2020  11:25 PM,3 phút 15 giây,"9,50","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00","1,00","1,00"
1914704,?ã hoàn thành,20 March 2020  11:26 PM,20 March 2020  11:27 PM,1 phút 5 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1915470,?ã hoàn thành,20 March 2020  11:48 PM,20 March 2020  11:52 PM,3 phút 43 giây,"9,00","1,00","1,00","1,00","1,00","1,00","0,50","0,50","1,00","1,00","1,00"
1915470,?ã hoàn thành,20 March 2020  11:53 PM,20 March 2020  11:54 PM,1 phút 14 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1911015,?ã hoàn thành,21 March 2020  12:43 AM,21 March 2020  12:46 AM,2 phút 47 giây,"8,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","0,00","1,00"
1911015,?ã hoàn thành,21 March 2020  12:46 AM,21 March 2020  12:47 AM,50 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1911015,?ã hoàn thành,21 March 2020  12:48 AM,21 March 2020  12:48 AM,45 giây,"9,75","1,00","1,00","1,00","1,00","1,00","1,00","0,75","1,00","1,00","1,00"
1911015,?ã hoàn thành,21 March 2020  12:49 AM,21 March 2020  12:50 AM,34 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1913845,?ã hoàn thành,21 March 2020  3:49 AM,21 March 2020  3:51 AM,2 phút 10 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1915905,?ã hoàn thành,21 March 2020  8:03 AM,21 March 2020  8:08 AM,4 phút 21 giây,"5,50","1,00","1,00","1,00","0,00","0,00","1,00","0,50","1,00","0,00","0,00"
1915982,?ã hoàn thành,21 March 2020  8:04 AM,21 March 2020  8:07 AM,2 phút 39 giây,"7,50","1,00","1,00","1,00","1,00","0,50","0,50","0,50","1,00","0,00","1,00"
1915982,?ã hoàn thành,21 March 2020  8:07 AM,21 March 2020  8:09 AM,1 phút 10 giây,"8,50","1,00","1,00","1,00","1,00","0,50","0,50","0,50","1,00","1,00","1,00"
1915905,?ã hoàn thành,21 March 2020  8:09 AM,21 March 2020  8:11 AM,1 phút 37 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1915982,?ã hoàn thành,21 March 2020  8:10 AM,21 March 2020  8:11 AM,1 phút 4 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1915540,?ã hoàn thành,21 March 2020  8:29 AM,21 March 2020  8:33 AM,4 phút 1 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1913917,?ã hoàn thành,21 March 2020  9:31 AM,21 March 2020  9:39 AM,8 phút 5 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1914121,?ã hoàn thành,21 March 2020  9:49 AM,21 March 2020  9:54 AM,5 phút 15 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1913844,?ã hoàn thành,21 March 2020  10:10 AM,21 March 2020  10:13 AM,3 phút 21 giây,"6,50","1,00","1,00","1,00","0,00","1,00","1,00","0,50","0,00","0,00","1,00"
1913464,?ã hoàn thành,21 March 2020  10:11 AM,21 March 2020  10:22 AM,11 phút 25 giây,"9,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","0,00","1,00"
1913844,?ã hoàn thành,21 March 2020  10:14 AM,21 March 2020  10:18 AM,3 phút 33 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1913844,?ã hoàn thành,21 March 2020  10:19 AM,21 March 2020  10:20 AM,1 phút 24 giây,"9,75","1,00","1,00","1,00","1,00","1,00","1,00","0,75","1,00","1,00","1,00"
1913844,?ã hoàn thành,21 March 2020  10:21 AM,21 March 2020  10:22 AM,1 phút 19 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1912715,?ã hoàn thành,21 March 2020  10:22 AM,21 March 2020  10:24 AM,2 phút 49 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1913464,?ã hoàn thành,21 March 2020  10:23 AM,21 March 2020  10:26 AM,2 phút 31 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1911931,?ã hoàn thành,21 March 2020  11:30 AM,21 March 2020  11:40 AM,10 phút 6 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1915323,?ã hoàn thành,21 March 2020  12:39 PM,21 March 2020  12:42 PM,3 phút 39 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1915323,?ã hoàn thành,21 March 2020  12:43 PM,21 March 2020  12:44 PM,1 phút 11 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1915323,?ã hoàn thành,21 March 2020  12:46 PM,21 March 2020  12:47 PM,44 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1912123,?ã hoàn thành,21 March 2020  12:57 PM,21 March 2020  12:59 PM,1 phút 55 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1911044,?ã hoàn thành,21 March 2020  1:01 PM,21 March 2020  1:04 PM,2 phút 53 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1913355,?ã hoàn thành,21 March 2020  2:01 PM,21 March 2020  2:04 PM,3 phút 40 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1913355,?ã hoàn thành,21 March 2020  2:05 PM,21 March 2020  2:06 PM,57 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1913355,?ã hoàn thành,21 March 2020  2:07 PM,21 March 2020  2:08 PM,41 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1915557,?ã hoàn thành,21 March 2020  2:15 PM,21 March 2020  2:19 PM,3 phút 57 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1913832,?ã hoàn thành,21 March 2020  2:34 PM,21 March 2020  2:39 PM,4 phút 46 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1915329,?ã hoàn thành,21 March 2020  2:47 PM,21 March 2020  2:50 PM,2 phút 45 giây,"8,00","1,00","1,00","1,00","0,00","1,00","1,00","1,00","1,00","0,00","1,00"
1915329,?ã hoàn thành,21 March 2020  2:51 PM,21 March 2020  2:51 PM,56 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1914055,?ã hoàn thành,21 March 2020  3:57 PM,21 March 2020  4:00 PM,2 phút 27 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1914055,?ã hoàn thành,21 March 2020  4:00 PM,21 March 2020  4:01 PM,1 phút 17 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1914055,?ã hoàn thành,21 March 2020  4:02 PM,21 March 2020  4:05 PM,2 phút 47 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1913433,?ã hoàn thành,21 March 2020  4:35 PM,21 March 2020  4:38 PM,2 phút 33 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1913433,?ã hoàn thành,21 March 2020  4:39 PM,21 March 2020  4:40 PM,49 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1910076,?ã hoàn thành,21 March 2020  5:23 PM,21 March 2020  5:25 PM,2 phút 5 giây,"9,50","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00","1,00"
1910076,?ã hoàn thành,21 March 2020  5:26 PM,21 March 2020  5:27 PM,59 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
